id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_6864,Cheltuieli financiare privind ajustările pentru pierderea de valoare a activelor circulante,6864,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_6865,Cheltuieli financiare privind amortizarea diferențelor aferente titlurilor de stat,6865,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_6868,Cheltuieli financiare privind amortizarea primelor de rambursare a obligațiunilor și a altor datorii,6868,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_691,Cheltuieli cu impozitul pe profit,691,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_current_profit_tax,False
pcg_695,Cheltuieli cu impozitul specific unor activitati,695,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_activity_specific_tax,False
pcg_698,Cheltuieli cu impozitul pe venit și cu alte impozite care nu apar in elementele de mai sus,698,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_tax,False
pcg_7015,Venituri din vânzarea produselor finite,7015,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_7017,Venituri din vânzarea produselor agricole,7017,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_7018,Venituri din vânzarea activelor biologice de natura stocurilor,7018,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_702,Venituri din vânzarea semifabricatelor,702,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_703,Venituri din vânzarea produselor reziduale,703,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_704,Venituri din servicii prestate,704,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_705,Venituri din studii și cercetări,705,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_706,"Venituri din redevențe, locații de gestiune și chirii",706,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
ro_pcg_sale,Venituri din vânzarea mărfurilor,707,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_708,Venituri din activități diverse,708,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_709,Reduceri comerciale acordate,709,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
