id,name,chart_template_id/id,code,account_type,reconcile
egy_account_400074,Bad Debts,l10n_eg.egypt_chart_template_standard,400074,data_account_type_expenses,False
egy_account_400075,Schedule Tax Expense,l10n_eg.egypt_chart_template_standard,400075,data_account_type_expenses,False
egy_account_400076,WH Tax Expense,l10n_eg.egypt_chart_template_standard,400076,data_account_type_expenses,False
egy_account_400077,Stamp tax expense,l10n_eg.egypt_chart_template_standard,400077,data_account_type_expenses,False
egy_account_400078,Social Contibution - Company portion expense,l10n_eg.egypt_chart_template_standard,400078,data_account_type_expenses,False
egy_account_500001,Sales Account,l10n_eg.egypt_chart_template_standard,500001,data_account_type_revenue,False
egy_account_500002,Sales of I/C,l10n_eg.egypt_chart_template_standard,500002,data_account_type_revenue,False
egy_account_500003,Management Consultancy Fees,l10n_eg.egypt_chart_template_standard,500003,data_account_type_revenue,False
egy_account_500004,Sales from Other Region,l10n_eg.egypt_chart_template_standard,500004,data_account_type_revenue,False
egy_account_500005,Advertising Income,l10n_eg.egypt_chart_template_standard,500005,data_account_type_revenue,False
egy_account_500006,Branding Income,l10n_eg.egypt_chart_template_standard,500006,data_account_type_revenue,False
egy_account_500007,Space Rental Income,l10n_eg.egypt_chart_template_standard,500007,data_account_type_revenue,False
egy_account_500008,Service Income,l10n_eg.egypt_chart_template_standard,500008,data_account_type_revenue,False
egy_account_500009,Interest Revenue,l10n_eg.egypt_chart_template_standard,500009,data_account_type_revenue,False
egy_account_500010,Capital Gain,l10n_eg.egypt_chart_template_standard,500010,data_account_type_revenue,False
egy_account_500011,Gain On Difference Of Exchange,l10n_eg.egypt_chart_template_standard,500011,data_account_type_revenue,False
egy_account_500013,Other Income,l10n_eg.egypt_chart_template_standard,500013,data_account_type_revenue,False
egy_account_999001,Cash Difference Loss,l10n_eg.egypt_chart_template_standard,999001,data_account_type_expenses,False
egy_account_999002,Cash Difference Gain,l10n_eg.egypt_chart_template_standard,999002,data_account_type_revenue,False
egy_account_999999,Undistributed Profits/Losses,l10n_eg.egypt_chart_template_standard,999999,data_unaffected_earnings,False
